Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
533,Joe Willock,eng ENG,MF,Newcastle Utd,23-221,1999,20.1,2,37,11,29.7,1.84,0.55,0.05,0.18,17.3,0,0,0,3.8,3.8,0.10,-1.8,-1.8,Matches,a3b03921
534,Callum Wilson,eng ENG,FW,Newcastle Utd,31-030,1992,13.8,7,43,18,41.9,3.12,1.31,0.14,0.33,12.2,0,1,1,8.5,7.7,0.18,-1.5,-1.7,Matches,c596fcb0
535,Harry Wilson,wls WAL,FW,Fulham,26-007,1997,5.0,0,9,1,11.1,1.79,0.20,0.00,0.00,15.2,0,0,0,1.1,1.1,0.12,-1.1,-1.1,Matches,c6dc9ecd
536,Yoane Wissa,cd COD,FW,Brentford,26-207,1996,13.1,5,24,10,41.7,1.83,0.76,0.21,0.50,14.7,0,0,0,3.9,3.9,0.16,+1.1,+1.1,Matches,2500cef9
537,Maximilian Wöber,at AUT,DF,Leeds United,25-053,1998,8.8,0,7,1,14.3,0.80,0.11,0.00,0.00,14.0,1,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches,4b803b3c
538,Chris Wood,nz NZL,FW,Newcastle Utd,31-112,1991,5.0,2,8,3,37.5,1.61,0.61,0.13,0.33,14.7,0,1,1,1.8,1.0,0.13,+0.2,0.0,Matches,4e9a0555
539,Chris Wood,nz NZL,FW,Nott'ham Forest,31-112,1991,4.1,1,3,1,33.3,0.73,0.24,0.33,1.00,8.2,0,0,0,1.0,1.0,0.32,0.0,0.0,Matches,4e9a0555
540,Joe Worrall,eng ENG,DF,Nott'ham Forest,26-078,1997,17.9,1,5,1,20.0,0.28,0.06,0.20,1.00,12.7,0,0,0,0.5,0.5,0.11,+0.5,+0.5,Matches,a5212312
541,Granit Xhaka,ch SUI,MF,Arsenal,30-183,1992,25.5,4,29,7,24.1,1.14,0.27,0.14,0.57,18.1,3,0,0,2.8,2.8,0.10,+1.2,+1.2,Matches,e61b8aee
542,Ryan Yates,eng ENG,MF,Nott'ham Forest,25-128,1997,16.6,0,25,5,20.0,1.51,0.30,0.00,0.00,16.9,0,0,0,2.2,2.2,0.09,-2.2,-2.2,Matches,c1fe2a48
543,Ashley Young,eng ENG,DF,Aston Villa,37-263,1985,14.2,1,8,2,25.0,0.56,0.14,0.13,0.50,27.2,0,0,0,0.2,0.2,0.03,+0.8,+0.8,Matches,be927d03
544,Wilfried Zaha,ci CIV,FWMF,Crystal Palace,30-139,1992,22.5,6,49,19,38.8,2.18,0.85,0.12,0.32,17.4,0,0,2,5.5,3.8,0.08,+0.5,+2.2,Matches,b2bc3b1f
545,Denis Zakaria,ch SUI,MF,Chelsea,26-129,1996,3.8,0,2,0,0.0,0.53,0.00,0.00,,16.9,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches,384d58d9
546,Jordan Zemura,zw ZIM,DF,Bournemouth,23-135,1999,16.2,0,4,0,0.0,0.25,0.00,0.00,,12.9,0,0,0,0.4,0.4,0.10,-0.4,-0.4,Matches,e8271ad9
547,Oleksandr Zinchenko,ua UKR,DF,Arsenal,26-104,1996,18.4,1,23,6,26.1,1.25,0.33,0.04,0.17,22.3,0,0,0,1.2,1.2,0.05,-0.2,-0.2,Matches,51cf8561
548,Hakim Ziyech,ma MAR,FWMF,Chelsea,30-010,1993,6.4,0,13,2,15.4,2.05,0.31,0.00,0.00,21.0,0,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches,6622454d
549,Kurt Zouma,fr FRA,DF,West Ham,28-153,1994,15.4,1,12,3,25.0,0.78,0.19,0.08,0.33,10.7,0,0,0,1.3,1.3,0.11,-0.3,-0.3,Matches,ce4246f5
550,Martin Ødegaard,no NOR,MF,Arsenal,24-102,1998,25.6,10,76,22,28.9,2.97,0.86,0.13,0.45,19.5,8,0,0,8.1,8.1,0.11,+1.9,+1.9,Matches,79300479
